u,v,length_km
300105,300232,25.409122881557128
300105,300408,1.982499748384796
300105,302164,54.872520182211716
300105,303169,35.98410502384853
300105,303540,41.98023266153887
300105,304137,50.62301785350153
300105,305984,16.83695923409373
300105,306060,25.01734607545713
300105,306279,10.498671288364346
300105,307564,8.964736093111535
300105,308471,56.3962802392762
300105,308806,52.236762518711565
300232,301614,14.411718089633071
300232,302164,32.99474840324351
300232,302187,9.434463642549005
300232,303169,14.10633324488034
300232,303540,20.10246088257067
300232,304137,28.745246074533306
300232,306060,8.874714849995708
300232,306224,12.994520942766396
300232,306279,20.926215209820057
300232,306369,19.25991272987585
300232,306450,15.213632334191125
300232,307564,18.894534231619385
300232,308471,34.518508460308
300232,308806,30.358990739743344
300390,302164,19.95463463653193
300390,303540,15.52642715660705
300390,304137,13.228727084800672
300390,304450,4.596638370857536
300390,306365,2.308139134481784
300390,306844,18.402934624604576
300390,307039,24.314327555682468
300390,307274,1.1186659372833603
300390,308471,21.46931016879168
300390,308806,17.309792448227025
300390,309758,23.79062941297885
300390,310179,6.445601887532205
300408,300558,17.23684634556489
300408,301517,9.92143805737456
300408,305984,17.51624367713845
300429,301105,22.235618260769183
300429,301156,14.425840133275361
300429,301194,12.870093671770109
300429,301636,14.26759161686687
300429,302171,21.6249976361843
300429,306768,7.827008832003099
300429,307693,17.472535309805245
300429,308494,8.606311147485485
300429,308786,40.23044870748413
300429,309569,10.756024823806499
300429,309663,29.394747081391753
300493,303620,5.858053704005098
300493,307693,10.647782224575687
300558,300648,40.3711423349292
300558,301517,10.386431580230937
300558,303371,43.790491431352905
300558,305984,28.150506871458127
300627,304137,12.892843742471108
300627,306623,2.587242545608471
300627,310179,18.44507809847255
300648,301541,7.162529734708552
300648,301558,24.533093919531265
300648,302798,12.061018124132222
300648,303371,7.012356054235928
300648,305984,12.528267569540388
300648,307564,15.453902865691065
300648,308907,9.034198243757164
300829,301558,11.196418456793824
300829,303371,14.802548326600466
300829,306489,44.97099921984304
300829,310199,44.36033843277278
301100,301105,14.303403099721155
301100,301543,3.9788677329243733
301100,301637,7.899532032881778
301100,302297,4.907836376463197
301100,309553,1.4972049897866664
301100,309663,6.423054660181422
301105,301156,10.210952232818995
301105,302171,2.1298721853915508
301105,303099,8.997353357553045
301105,306694,1.6953750278381
301105,308494,30.841698630006015
301105,308786,22.1442443032679
301105,309663,8.775356686830959
