fid,OBJECTID_1,OBJECTID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER,layer,path,MAX_VOLT_N,MIN_VOLT_N,HIFLD_ID,Owner,voltage_for_fragility,fragility_class,mu_DS1,mu_DS2,mu_DS3,mu_DS4,beta_DS1,beta_DS2,beta_DS3,beta_DS4,mu_DS1_old,mu_DS2_old,mu_DS3_old,mu_DS4_old,beta_DS1_old,beta_DS2_old,beta_DS3_old,beta_DS4_old,COUNTY_N,CITY_N,id,PGA_Northridge,PGA_SanFernando,PGA_LongBeach,PGA_2pc50
1373,67666,67666,303344,CHEVGEN,EL SEGUNDO,CA,90245,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.9125634110001,-118.4141953,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1520985600000,2,66,66,N,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,66,66,303344,SCE,66,low,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,LOS ANGELES,EL SEGUNDO,303344,0.1884751877660708,0.07368718700047025,0.208662875595508,0.9097458923334989
500,65430,65430,301108,CHEVMAIN,EL SEGUNDO,CA,90245,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.9026995190001,-118.4019889,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1433376000000,IMAGERY/OTHER,1433376000000,5,230,66,N,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,230,66,301108,SCE,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,EL SEGUNDO,301108,0.18075006927836884,0.0790843985029529,0.23263406662918307,0.9116318627785205
2597,71015,71015,306694,COLORADO,SANTA MONICA,CA,90404,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.0256339360001,-118.4722033,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1520985600000,2,66,66,N,Y,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,66,66,306694,SCE,66,low,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,LOS ANGELES,SANTA MONICA,306694,0.4574224140271006,0.11064493463167623,0.133946887237315,0.908851631576119
909,66509,66509,302187,DEL AMO,CERRITOS,CA,90703,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.8482231780001,-118.0971738,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1475452800000,IMAGERY/OTHER,1475452800000,10,230,66,N,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,230,66,302187,SCE,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,CERRITOS,302187,0.12811450875128116,0.08351862288755718,0.47239271039769976,0.7582753208041287
3805,74172,74172,309853,DOCK,LONG BEACH,CA,90802,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.75945169,-118.2378575,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1435017600000,2,66,66,Y,Y,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,66,66,309853,SCE,66,low,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,LOS ANGELES,LONG BEACH,309853,0.10960738879684122,0.05925887140839672,0.30400531724711277,0.7865716493266233
2382,70412,70412,306091,DOUGLAS,EL SEGUNDO,CA,90245,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.9222597620001,-118.3826994,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1520985600000,1,66,66,N,Y,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,66,66,306091,SCE,66,low,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,LOS ANGELES,EL SEGUNDO,306091,0.17278186723319913,0.0755245560143786,0.2325251669356476,0.8883187068823647
674,65880,65880,301558,EAGLE ROCK,GLENDALE,CA,91206,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.15084663,-118.1842557,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1433808000000,IMAGERY/OTHER,1433808000000,9,230,66,N,N,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,230,66,301558,SCE,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,GLENDALE,301558,0.14732001509335452,0.17094284391617043,0.058504969890954654,0.9392117308001205
3938,74523,74523,310204,EL NIDO,HAWTHORNE,CA,90260,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.8959709,-118.3729894,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Southern California Edison http://preview.tinyurl.com/q9vuye2,1433376000000,IMAGERY/OTHER,1433376000000,7,230,66,N,N,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,230,66,310204,SCE,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,HAWTHORNE,310204,0.16361277047787867,0.08301217630323023,0.25788068465960057,0.8918448030335987
3747,74022,74022,309703,EL SEGUNDO,EL SEGUNDO,CA,90245,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.90847964,-118.4231253,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435190400000,IMAGERY/OTHER,1435190400000,2,230,230,N,Y,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,230,230,309703,SCE,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,EL SEGUNDO,309703,0.18393252098160784,0.07269035433532442,0.19703074696253603,0.9127723737401875
3557,73475,73475,309156,FELTON,DEL AIRE,CA,90250,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.91580263,-118.3621368,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435190400000,IMAGERY/OTHER,1520985600000,2,66,66,N,Y,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,66,66,309156,SCE,66,low,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,LOS ANGELES,DEL AIRE,309156,0.16129927658247054,0.08177599039126342,0.25058137539357334,0.8841491671923694
