fid,OBJECTID_1,OBJECTID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER,layer,path,MAX_VOLT_N,MIN_VOLT_N,HIFLD_ID,Owner,voltage_for_fragility,fragility_class,mu_DS1,mu_DS2,mu_DS3,mu_DS4,beta_DS1,beta_DS2,beta_DS3,beta_DS4,mu_DS1_old,mu_DS2_old,mu_DS3_old,mu_DS4_old,beta_DS1_old,beta_DS2_old,beta_DS3_old,beta_DS4_old,COUNTY_N,CITY_N
909,66509,66509,302187,DEL AMO,CERRITOS,CA,90703,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.8482231780001,-118.0971738,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1475452800000,IMAGERY/OTHER,1475452800000,10,230,66,N,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,230,66,302187,SCE,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,CERRITOS
3805,74172,74172,309853,DOCK,LONG BEACH,CA,90802,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.75945169,-118.2378575,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1435017600000,2,66,66,Y,Y,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,66,66,309853,SCE,66,low,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,LOS ANGELES,LONG BEACH
2382,70412,70412,306091,DOUGLAS,EL SEGUNDO,CA,90245,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.9222597620001,-118.3826994,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1520985600000,1,66,66,N,Y,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,66,66,306091,SCE,66,low,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,LOS ANGELES,EL SEGUNDO
674,65880,65880,301558,EAGLE ROCK,GLENDALE,CA,91206,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.15084663,-118.1842557,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1433808000000,IMAGERY/OTHER,1433808000000,9,230,66,N,N,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,230,66,301558,SCE,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,GLENDALE
3938,74523,74523,310204,EL NIDO,HAWTHORNE,CA,90260,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.8959709,-118.3729894,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Southern California Edison http://preview.tinyurl.com/q9vuye2,1433376000000,IMAGERY/OTHER,1433376000000,7,230,66,N,N,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,230,66,310204,SCE,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,HAWTHORNE
3747,74022,74022,309703,EL SEGUNDO,EL SEGUNDO,CA,90245,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.90847964,-118.4231253,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435190400000,IMAGERY/OTHER,1435190400000,2,230,230,N,Y,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,230,230,309703,SCE,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,EL SEGUNDO
3557,73475,73475,309156,FELTON,DEL AIRE,CA,90250,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.91580263,-118.3621368,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435190400000,IMAGERY/OTHER,1520985600000,2,66,66,N,Y,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,66,66,309156,SCE,66,low,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,LOS ANGELES,DEL AIRE
3261,72688,72688,308367,FUEL,LONG BEACH,CA,90802,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.7646608260001,-118.2266652,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435536000000,IMAGERY/OTHER,1435536000000,1,230,66,Y,Y,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,230,66,308367,SCE,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,LONG BEACH
296,64880,64880,300558,GANESHA,POMONA,CA,91766,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.0574999250001,-117.775418,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1520985600000,5,66,66,N,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,66,66,300558,SCE,66,low,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,LOS ANGELES,POMONA
1382,67693,67693,303371,GOODRICH,PASADENA,CA,91107,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.1513934450001,-118.0879858,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1433376000000,IMAGERY/OTHER,1433376000000,5,230,66,N,N,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,230,66,303371,SCE,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,PASADENA
