tract_id,substation_id,weight,population,lat,lon
06037204920,308269,1.0,2459,34.01532207,-118.2039437
06037205110,308269,1.0,3690,34.01532207,-118.2039437
06037205120,308269,1.0,3409,34.01532207,-118.2039437
06037206010,310527,1.0,3490,34.06701,-118.2261
06037206020,310527,1.0,8179,34.06701,-118.2261
06037206050,309042,1.0,2290,34.037716,-118.22984
06037111402,307693,1.0,5998,34.2805920000001,-118.478304
06037111303,307693,1.0,4567,34.2805920000001,-118.478304
06037104321,301636,1.0,2926,34.2735632820001,-118.458755
06037104322,301636,1.0,1856,34.2735632820001,-118.458755
06037108203,301214,0.2829843326587862,3157,34.31272248,-118.4799659
06037108203,306489,0.29899856494929233,3157,34.3125282570001,-118.4811313
06037108203,310199,0.4180171023919216,3157,34.3110069570001,-118.4893478
06037320101,301636,1.0,3402,34.2735632820001,-118.458755
06037231901,301614,0.3810138653904764,3440,33.99796189,-118.2060738
06037231901,306450,0.6189861346095237,3440,33.9984353900001,-118.2201568
06037232402,308786,0.23207078068305215,3098,34.0007949,-118.3784015
06037232402,306444,0.2673213074213314,3098,34.00046933,-118.3736821
06037232402,301745,0.5006079118956164,3098,33.9959809710001,-118.3592585
06037135204,308991,0.7840199466743732,4665,34.1894990280001,-118.5918789
06037135204,303620,0.2159800533256268,4665,34.1793531860001,-118.5436866
06037460101,304040,1.0,5650,34.1997068580001,-118.1705521
06037132302,303620,1.0,3176,34.1793531860001,-118.5436866
06037135115,308991,1.0,3921,34.1894990280001,-118.5918789
06037132301,303620,1.0,3616,34.1793531860001,-118.5436866
06037134907,308991,1.0,3854,34.1894990280001,-118.5918789
06037119003,301636,1.0,3332,34.2735632820001,-118.458755
06037111401,307693,1.0,2193,34.2805920000001,-118.478304
06037103401,309569,1.0,2552,34.24329813,-118.3918025
06037207400,310527,1.0,2273,34.06701,-118.2261
06037192410,308206,0.19259332784732333,4285,34.1059585250001,-118.358772
06037192410,303899,0.8074066721526767,4285,34.0881192410001,-118.3469878
06037192510,308206,0.24112493112248412,3991,34.1059585250001,-118.358772
06037192510,303899,0.7588750688775159,3991,34.0881192410001,-118.3469878
06037192520,308206,0.2565765844673429,4884,34.1059585250001,-118.358772
06037192520,303899,0.7434234155326571,4884,34.0881192410001,-118.3469878
06037192610,308206,0.275518190979325,4106,34.1059585250001,-118.358772
06037192610,303899,0.724481809020675,4106,34.0881192410001,-118.3469878
06037192700,301194,1.0,3070,34.1093400830001,-118.2544222
06037194500,308206,0.1648023389113101,2116,34.1059585250001,-118.358772
06037194500,303899,0.83519766108869,2116,34.0881192410001,-118.3469878
06037195100,301194,1.0,4976,34.1093400830001,-118.2544222
06037195300,301194,1.0,2976,34.1093400830001,-118.2544222
06037137501,308991,1.0,5495,34.1894990280001,-118.5918789
06037137502,308991,1.0,4582,34.1894990280001,-118.5918789
06037195500,301194,1.0,5138,34.1093400830001,-118.2544222
06037195600,301194,1.0,2821,34.1093400830001,-118.2544222
06037195710,309042,0.2283248558883734,4274,34.037716,-118.22984
06037195710,310527,0.7716751441116266,4274,34.06701,-118.2261
06037195720,309042,0.20720363546269427,1694,34.037716,-118.22984
06037195720,310527,0.7927963645373057,1694,34.06701,-118.2261
06037195802,301194,1.0,2865,34.1093400830001,-118.2544222
06037137504,308991,0.18394080270730967,1889,34.1894990280001,-118.5918789
06037137504,303620,0.8160591972926903,1889,34.1793531860001,-118.5436866
06037138000,308991,0.8100961425166837,4777,34.1894990280001,-118.5918789
06037138000,303620,0.1899038574833163,4777,34.1793531860001,-118.5436866
06037139200,303620,1.0,5758,34.1793531860001,-118.5436866
06037143200,300429,1.0,4215,34.17619826,-118.3596448
06037201301,309042,0.23723313259625847,3403,34.037716,-118.22984
06037201301,310527,0.7627668674037416,3403,34.06701,-118.2261
06037201302,310527,1.0,4083,34.06701,-118.2261
06037201401,302798,0.2457599320563261,4177,34.04785348,-118.1621833
06037201401,307785,0.7542400679436739,4177,34.0450670390001,-118.1864063
06037201402,302798,0.18373710607291754,4113,34.04785348,-118.1621833
06037201402,307785,0.8162628939270825,4113,34.0450670390001,-118.1864063
06037236001,308786,0.31053838106929654,4063,34.0007949,-118.3784015
06037236001,306444,0.5299582603751897,4063,34.00046933,-118.3736821
06037236001,301745,0.15950335855551379,4063,33.9959809710001,-118.3592585
06037236102,308786,0.17518299115205985,3510,34.0007949,-118.3784015
06037236102,306444,0.2158778044547159,3510,34.00046933,-118.3736821
06037236102,301745,0.6089392043932244,3510,33.9959809710001,-118.3592585
06037409100,300408,0.12401528941272877,5576,34.0090391000001,-117.9305028
06037409100,300105,0.8759847105872712,5576,34.00812595,-117.9498067
06037234301,308786,0.19838614160444534,1779,34.0007949,-118.3784015
06037234301,306444,0.23799422441258436,1779,34.00046933,-118.3736821
06037234301,301745,0.5636196339829703,1779,33.9959809710001,-118.3592585
06037231601,308786,0.2503698477389348,2230,34.0007949,-118.3784015
