id,lat,lon
308494,34.1578327350001,-118.2801855
307039,33.7715039130001,-118.1004734
306365,33.81746381,-118.2434621
304040,34.1997068580001,-118.1705521
310504,33.9995041230001,-118.1711273
301156,34.0731564000001,-118.397476
302164,33.9024801100001,-118.3119354
307274,33.81933869,-118.2171805
303540,33.8639219950001,-118.2169551
300232,33.9288847760001,-118.1059118
303344,33.9125634110001,-118.4141953
301108,33.9026995190001,-118.4019889
306694,34.0256339360001,-118.4722033
302187,33.8482231780001,-118.0971738
309853,33.75945169,-118.2378575
306091,33.9222597620001,-118.3826994
301558,34.15084663,-118.1842557
310204,33.8959709,-118.3729894
309703,33.90847964,-118.4231253
309156,33.91580263,-118.3621368
308367,33.7646608260001,-118.2266652
300558,34.0574999250001,-117.775418
303371,34.1513934450001,-118.0879858
300829,34.2215873580001,-118.1870653
306623,33.9464505350001,-118.3128075
307512,34.1556333130001,-118.2774902
304137,33.84773309,-118.3034261
304450,33.7788659230001,-118.2273228
307373,33.7635279720001,-118.0963236
300390,33.81929087,-118.2224872
303303,33.8104568630001,-118.340512
300627,33.9264168390001,-118.3096192
307564,34.0370893,-118.0255798
309843,34.06826245,-118.4884048
305885,33.9891771800001,-118.3593178
308786,34.0007949,-118.3784015
306844,33.86967226,-118.3331137
306369,33.88860495,-118.0144487
306060,33.9760774310001,-118.1477004
306224,33.83021436,-118.1248095
303169,33.8801807730001,-118.174525
308540,33.76537743,-118.2250973
301541,34.03704643,-118.1103667
308806,33.85711837,-118.3328799
308907,34.04554393,-118.1291645
308206,34.1059585250001,-118.358772
301517,34.0067483930001,-117.8553004
306279,33.9460605990001,-117.92227
301214,34.31272248,-118.4799659
300408,34.0090391000001,-117.9305028
301614,33.99796189,-118.2060738
302798,34.04785348,-118.1621833
307693,34.2805920000001,-118.478304
305984,34.1056573990001,-117.9802409
309042,34.037716,-118.22984
307557,33.9035677410001,-118.3979126
300648,34.09212924,-118.0826409
301636,34.2735632820001,-118.458755
302171,34.04740878,-118.4522527
301543,33.91902035,-118.3967065
306444,34.00046933,-118.3736821
310527,34.06701,-118.2261
304073,33.94797761,-118.2549111
303099,34.0380813470001,-118.3708133
300429,34.17619826,-118.3596448
308269,34.01532207,-118.2039437
301194,34.1093400830001,-118.2544222
303899,34.0881192410001,-118.3469878
300493,34.2292951100001,-118.5434782
301105,34.0331442630001,-118.4600055
309553,33.919,-118.425293
309569,34.24329813,-118.3918025
301637,33.962,-118.376219
308581,33.7704535940001,-118.264895
308991,34.1894990280001,-118.5918789
306489,34.3125282570001,-118.4811313
310199,34.3110069570001,-118.4893478
309663,33.9777641590001,-118.4369318
303620,34.1793531860001,-118.5436866
305780,33.91599584,-118.4096749
308471,33.8297364410001,-118.3444471
302297,33.9212974610001,-118.385597
301100,33.93161755,-118.4260013
302923,33.9093328210001,-118.4115657
306768,34.12370611,-118.3370583
307832,33.8992081870001,-118.384577
306450,33.9984353900001,-118.2201568
307785,34.0450670390001,-118.1864063
300105,34.00812595,-117.9498067
310179,33.7980000000001,-118.257816
301745,33.9959809710001,-118.3592585
309758,33.9188036130001,-118.3346649
